p,gmn
0.1,-1.64796e-14
0.1,-4.42054e-08
0.1,-4.49324e-11
0.1,-1.28636e-08
0.1,0.166339
0.1,-2.75079e-16
0.1,0.0225717
0.1,-2.81317e-13
0.1,-4.19967e-13
0.1,-1.64857e-08
0.1,-1.10101e-13
0.1,-4.49323e-11
0.1,-5.0257e-12
0.1,-3.33988e-14
0.1,-2.84822e-10
0.1,-4.49323e-11
0.1,-9.26739e-14
0.1,-1.87841e-09
0.1,-6.35076e-13
0.1,-2.43923e-10
0.1,-1.65438e-07
0.1,-5.4323e-09
0.1,-3.39753e-10
0.1,-3.04016e-09
0.1,-3.01616e-10
0.1,-1.46546e-12
0.1,-4.49324e-11
0.1,-6.04869e-14
0.1,-6.48396e-10
0.1,-4.49324e-11
0.1,-1.56144e-09
0.1,-4.49342e-11
0.1,-4.49324e-11
0.1,-2.04013e-09
0.1,-4.49324e-11
0.1,-2.13233e-08
0.1,-2.77999e-12
0.1,-1.97886e-13
0.1,-2.34977e-08
0.1,-1.70469e-10
0.1,-1.15436e-07
0.1,-8.47886e-11
0.1,-3.66696e-11
0.1,-3.09812e-12
0.1,-1.20974e-09
0.1,-2.94725e-14
0.1,-2.44435e-10
0.1,-6.56174e-13
0.1,-1.60115e-10
0.1,-8.25528e-11
0.1,0.0818062
0.1,-2.68625e-11
0.1,0.0654547
0.1,-2.03641e-08
0.1,-3.39721e-12
0.1,-2.78675e-09
0.1,-3.59368e-15
0.1,0.055157
0.1,-7.1806e-10
0.1,-1.32239e-08
0.1,-5.59493e-14
0.1,-2.00827e-14
0.1,-5.56096e-10
0.1,-2.46889e-08
0.1,-1.52283e-08
0.1,-4.49324e-11
0.1,-3.68185e-14
0.1,-6.08908e-10
0.1,-4.11361e-08
0.1,-1.48354e-14
0.1,-4.06779e-15
0.1,-1.68132e-08
0.1,-3.77969e-09
0.1,-2.98789e-09
0.1,-4.30721e-10
0.1,-2.43685e-10
0.1,-1.94255e-08
0.1,-1.11918e-13
0.1,-2.04667e-08
0.1,-2.00963e-09
0.1,-6.39529e-09
0.1,-4.44285e-13
0.1,-4.48541e-13
0.1,-5.63307e-08
0.1,-4.4937e-11
0.1,-3.05995e-13
0.1,0.0186697
0.1,-1.92662e-13
0.1,-1.14787e-11
0.1,0.00336971
0.1,-4.2791e-11
0.1,-3.84817e-08
0.1,-5.13938e-11
0.1,-1.45939e-09
0.1,-5.98501e-08
0.1,-1.47818e-08
0.1,-4.49324e-11
0.1,-5.31873e-10
0.1,-7.2219e-14
0.1,-5.14452e-10
0.1,-8.11842e-11
0.1,-9.81117e-15
0.1,-2.9472e-13
